,time,x,y,subsidence
90,36.0,-237.5642924421598,-505.71505919159955,0.0017488986123345525
91,36.0,-2.9323715363999554,-215.2183952130398,0.006222375046863936
92,36.0,477.5044188896795,187.00775491111983,0.0010820344057622187
93,36.0,365.7749327440797,287.56429244215974,0.0034333028879041973
94,36.0,321.0831382858397,-114.66185768199989,0.004873766592749315
95,36.0,108.79711460919987,376.9478813586396,0.0030961974146110544
96,36.0,-192.87249798391986,499.8503161187996,0.0024685497113768684
97,36.0,276.3913438275997,466.3314702751196,0.0017827275090635643
98,36.0,455.1585216605596,-58.79711460919998,0.0021183367713220455
99,36.0,-449.8503161187996,-349.2937785877597,0.0017183578992857682
100,36.0,164.6618576819999,-282.25608690039974,0.004738931428662914
101,36.0,-304.60198412951974,-47.62416599463995,0.00562265772596327
